CNPJ Entidade	Nome Entidade	N˙mero ConvÍnio	”rg„o Concedente	Motivo Impedimento
01634054000171	ASSOCIACAO NACIONAL DOS FUNCIONARIOS DO BANCO DO BRASIL	097131	MINISTERIO DO DESENVOLVIMENTO SOCIAL	MOTIVO N√O ESPECIFICADO
01634104000110	SIND TRAB EMPRESAS E ORGAOS PUBL PROC DAD S I S DO DF	371311	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
01634104000110	SIND TRAB EMPRESAS E ORGAOS PUBL PROC DAD S I S DO DF	399035	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
01635580000156	FEDERACAO DOS TRABALHADORES NO COMERCIO E NO SETOR DE S	513084	MINISTERIO DO ESPORTE	IRREGULARIDADES NA EXECU«√O
01635580000156	FEDERACAO DOS TRABALHADORES NO COMERCIO E NO SETOR DE S	542383	MINISTERIO DO ESPORTE	INSTAURA«√O DE TCE
01637294000120	ASSOCIACAO INDIGENA TEMBE DE TOME ACU	510827	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01641299000126	OFICINA CULTURAL RODOTEATRO	537567	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01641620000172	CONFEDERACAO NACIONAL DAS ASSOCIACOES DE MORADORES	703301	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
01657219000120	ASSOCIACAO WARA	448165	MINISTERIO DO MEIO AMBIENTE	INSTAURA«√O DE TCE
01657219000120	ASSOCIACAO WARA	520496	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01667455000128	ASSOCIACAO HABITACIONAL BRASIL CIDADAO	736464	MINISTERIO DAS CIDADES	MOTIVO N√O ESPECIFICADO
01667808000190	TERRASA	394306	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01676793000126	SINDICATO DOS TRABALHADORES RURAIS DE MATUREIA	577228	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01678603000100	INST DE DESENV DE ATIV DE AUTO-SUSTENT DAS POPU INDIGEN	412471	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01678603000100	INST DE DESENV DE ATIV DE AUTO-SUSTENT DAS POPU INDIGEN	507393	MINISTERIO DA SAUDE	IRREGULARIDADES NA EXECU«√O
01682509000124	INSTITUTO NACIONAL DE FORMACAO E ASSESSORIA SINDICAL DA	557995	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01682509000124	INSTITUTO NACIONAL DE FORMACAO E ASSESSORIA SINDICAL DA	586573	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01682509000124	INSTITUTO NACIONAL DE FORMACAO E ASSESSORIA SINDICAL DA	588600	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
01692879000142	FEDERACAO CEARENSE DE ESPORTE COLEGIAIS	527611	MINISTERIO DO ESPORTE	INSTAURA«√O DE TCE
01698309000160	SOCIEDADE DE MAES ESTRELA DE NATAL	552835	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01703756000160	PROBAT-PROGRAMA BRASILEIRO DE APOIO AO TRABALHADOR	524346	MINISTERIO DO TURISMO	INSTAURA«√O DE TCE
01716869000108	INSTITUTO INVENCAO BRASILEIRA	596960	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECU«√O
01717495000137	BAGAGEM CIA DE BONECOS	710417	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
01717495000137	BAGAGEM CIA DE BONECOS	748094	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
01718417000157	ASSOCIACAO DOS AGRICULTORES DA LINHA 09 S	332327	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
01719608000133	CORTE DA PLLANNTTA MYLLGGY INTERCAB	537334	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01720663000143	INSTITUTO LADAINHA	725707	MINISTERIO DO ESPORTE	MOTIVO N√O ESPECIFICADO
01721133000110	ASSOCIACAO DOS IDOSOS DA CEILANDIA DF	601467	MINISTERIO DO ESPORTE	IRREGULARIDADES NA EXECU«√O
01721533000125	COMUNIDADE TERREIRA ILE AXE YEMONJA OMI OLODO E C.E.U.	717899	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
01731013000101	ASSOCIACAO ESTADUAL DE COOPERACAO AGRICOLA	564249	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01731972000119	COOPERATIVA DE APOIO AS ORGANIZACOES DE GESTAO E PRODUC	491393	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01738018000158	CENT.C.DE PROF.PROT.E DEF.A CRIAN.E AO ADOLES.SOS CRIAN	532796	MINISTERIO DO TURISMO	INSTAURA«√O DE TCE
01754258000146	SINDICATO RURAL DE GOIATUBA	631740	MINISTERIO DO TURISMO	INSTAURA«√O DE TCE
01762626000106	COOPERATIVA DE EDUCADORES DO ESTADO DO RIO GRANDE DO SU	559800	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
01765689000108	ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS	551847	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01768271000154	ASSOCIACAO DOS PORTADORES DE DEFICIENCIAS E PATOLOGIAS	465625	MINISTERIO DOS DIREITOS HUMANOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01769491000100	FUNDO DE DESENVOLVIMENTO E ACAO COMUNITARIA	516680	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01769491000100	FUNDO DE DESENVOLVIMENTO E ACAO COMUNITARIA	539431	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01771411000143	CONSELHO DA COMUNIDADE NA EXECUCAO PENAL (C.C.E.P) DA C	598485	MINISTERIO DA JUSTICA E SEGURANÁA PUBLICA	IRREGULARIDADES NA EXECU«√O
01774781000134	ASSOCIACAO DO GRUPO INDIGENA TEMBE DO ALTO RIO GUAMA	518461	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01785997000103	FEDERACAO DOS TRABALHADORES RURAIS AGRICULTORES E AGRIC	476656	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01785997000103	FEDERACAO DOS TRABALHADORES RURAIS AGRICULTORES E AGRIC	537225	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
01785997000103	FEDERACAO DOS TRABALHADORES RURAIS AGRICULTORES E AGRIC	537249	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
01785997000103	FEDERACAO DOS TRABALHADORES RURAIS AGRICULTORES E AGRIC	537252	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
01791070000178	IDEP INSTITUTO DE DESENVOLVIMENTO PROFISSIONAL	617691	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01791642000119	INSTITUTO MANOEL NOVAES PARA O DESENVOLVIMENTO DA BACIA	391959	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01791642000119	INSTITUTO MANOEL NOVAES PARA O DESENVOLVIMENTO DA BACIA	415432	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01821471000123	FUNDACAO DE APOIO A PESQUISA, EXTENSAO E ENSINO EM CIEN	654619	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
01832903000100	INSTITUTO DE DESENVOLVIMENTO SOCIAL - IDS	774433	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
01837688000121	FUNDACAO ESCOLA BAHIANA DE ENGENHARIA ELETROMECANICA	527410	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
01838528000105	COOPTAL - COOPERATIVA DE PROFISSIONAIS TECNICOS EM ALA	615432	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
01847932000137	NUCLEO DE INCENTIVO SOCIAL CIDADANIA EDUCACAO E INCLUSA	538283	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01847932000137	NUCLEO DE INCENTIVO SOCIAL CIDADANIA EDUCACAO E INCLUSA	576553	MINISTERIO DOS DIREITOS HUMANOS	INSTAURA«√O DE TCE
01847932000137	NUCLEO DE INCENTIVO SOCIAL CIDADANIA EDUCACAO E INCLUSA	590444	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01848088000169	ASSOCIACAO AMERINDIA COOPERACAO SOLIDARIA COM OS POVOS	347320	MINISTERIO DA JUSTICA E SEGURANÁA PUBLICA	IRREGULARIDADES NA EXECU«√O
01850572000122	ASSOCIACAO DOS PEQUENOS PRODUTORES DO ASSENTAMENTO MING	374428	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
01850618000103	CONFEDERACAO LATINO-AMERICANA DO COMERCIO LOJISTA	577842	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECU«√O
01852738000140	ASSOCIACAO DE DESENVOLVIMENTO SOCIO EDUCATIVO E CULTURA	739516	MINISTERIO DA CULTURA	MOTIVO N√O ESPECIFICADO
01865966000154	COOPERATIVA DE TRABALHADORES EM REFORMA AGRARIA COTRARA	517866	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01865966000154	COOPERATIVA DE TRABALHADORES EM REFORMA AGRARIA COTRARA	524330	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
01866378000135	COOPERATIVA MISTA DOS PEQUENOS PROD DE BOM JESUS DA LAP	573172	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01867129000164	FUNDACAO ATAPESP DE TECNOLOGIA AVANCADA DE ESTIVAGEM	469147	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01872322000193	COOPERATIVA MISTA DOS PRODUTORES RURAIS DE MANACAPURU L	332333	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
01873861000147	ASSOCIACAO DOS PARCELEIROS DO ASSENTAMENTO VITORIA	517610	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
01877360000139	ASSOCIACAO EST DE COOPERACAO AGRICOLA DO RIO DE JANEIRO	493928	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01877360000139	ASSOCIACAO EST DE COOPERACAO AGRICOLA DO RIO DE JANEIRO	527757	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
01877360000139	ASSOCIACAO EST DE COOPERACAO AGRICOLA DO RIO DE JANEIRO	532172	MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01877360000139	ASSOCIACAO EST DE COOPERACAO AGRICOLA DO RIO DE JANEIRO	537149	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
01882648000100	CONSELHO GERAL DA TRIBO TIKUNA	449943	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01882648000100	CONSELHO GERAL DA TRIBO TIKUNA	512327	MINISTERIO DA SAUDE	IRREGULARIDADES NA EXECU«√O
01883949000140	INSTITUTO DE PESQUISA E ACAO MODULAR-IPAM	703944	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
01883949000140	INSTITUTO DE PESQUISA E ACAO MODULAR-IPAM	704496	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
01883949000140	INSTITUTO DE PESQUISA E ACAO MODULAR-IPAM	704873	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
01883949000140	INSTITUTO DE PESQUISA E ACAO MODULAR-IPAM	732159	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
01883949000140	INSTITUTO DE PESQUISA E ACAO MODULAR-IPAM	734010	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
01883949000140	INSTITUTO DE PESQUISA E ACAO MODULAR-IPAM	740804	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
01883949000140	INSTITUTO DE PESQUISA E ACAO MODULAR-IPAM	749924	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
01890362000168	ASSOCIACAO DE DESENVOLVIMENTO COMUNITARIO DOS PEQUENOS	579555	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA EXECU«√O
01894171000174	ASSOCIACAO DE COOPERACAO AGRICOLA DO ESTADO DE ALAGOAS	429917	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
01899138000137	CENTRO PARA INOVACAO E COMPETITIVIDADE	514720	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
01899138000137	CENTRO PARA INOVACAO E COMPETITIVIDADE	555022	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
01899851000180	ASSOCIACAO COM. DO ASSENTAMENTO INDEPENDENCIA NOSSA SEN	468548	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
01910994000146	INSTITUTO CEARENSE DE CIENCIAS NATURAIS ICCN	356162	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01923684000166	ASSOC.DA ESCOLA DAS FAMILIAS AGRIC.DA PERIM.NORTE-AEFAP	570879	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
01926020000150	ASSOC.COMUNITTARIA E DE DESENVOLIVIMENTO A. RIACHOENSE	527741	MINISTERIO DO TURISMO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01926227000125	ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE MANOEL	466016	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
01929573000167	ASSOCIACAO DO DISTRITO DE IRRIGACAO BAIXO ACU	527428	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01931290000150	INSTITUTO AMAZONIA DE INTEGRACAO E DESENVOLVIMENTO	537219	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
01931290000150	INSTITUTO AMAZONIA DE INTEGRACAO E DESENVOLVIMENTO	570477	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01931942000156	IEA - INSTITUTO DE ESTUDOS AMAZONICOS	565451	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
01948065000126	CENTRO DE INOVACAO, EMPREENDEDORISMO E TECNOLOGIA - CIE	631195	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
01952316000146	ASSOCIACAO MULHER INFORMACAO	469146	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01954903000174	ASSOCIACAO DE COOPERACAO AGRICOLA NO ESTADO DE GOIAS	491476	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01954903000174	ASSOCIACAO DE COOPERACAO AGRICOLA NO ESTADO DE GOIAS	518436	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01954903000174	ASSOCIACAO DE COOPERACAO AGRICOLA NO ESTADO DE GOIAS	520755	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA EXECU«√O
01954903000174	ASSOCIACAO DE COOPERACAO AGRICOLA NO ESTADO DE GOIAS	577464	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01964874000121	ASSOCIACAO DOS CAFEICULTORES DO MUNICIPIO DE PIATA	523958	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
01968623000115	COOPERATIVA DE TRABALHO AGRO-AMBIENTAL DE RONDONIA - CO	514189	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01968623000115	COOPERATIVA DE TRABALHO AGRO-AMBIENTAL DE RONDONIA - CO	521361	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01968623000115	COOPERATIVA DE TRABALHO AGRO-AMBIENTAL DE RONDONIA - CO	524145	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01968623000115	COOPERATIVA DE TRABALHO AGRO-AMBIENTAL DE RONDONIA - CO	550804	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01968623000115	COOPERATIVA DE TRABALHO AGRO-AMBIENTAL DE RONDONIA - CO	550832	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01968623000115	COOPERATIVA DE TRABALHO AGRO-AMBIENTAL DE RONDONIA - CO	701562	MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS	MOTIVO N√O ESPECIFICADO
01968623000115	COOPERATIVA DE TRABALHO AGRO-AMBIENTAL DE RONDONIA - CO	701967	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	MOTIVO N√O ESPECIFICADO
01973478000160	ABRACE - ASSOCIACAO BRASILEIRA DE ASSISTENCIA AS FAMILI	722386	MINISTERIO DA SAUDE	MOTIVO N√O ESPECIFICADO
01977821000145	COLONIA Z-9 DO PONTAL DO ARAGUAIA E BARRA DO GARCAS-MT	530161	MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01983244000102	INSTITUTO DE QUALIDADE DE VIDA - IQUAVI	609137	MINISTERIO DO ESPORTE	INSTAURA«√O DE TCE
01983244000102	INSTITUTO DE QUALIDADE DE VIDA - IQUAVI	701177	MINISTERIO DO TRABALHO	MOTIVO N√O ESPECIFICADO
01983244000102	INSTITUTO DE QUALIDADE DE VIDA - IQUAVI	709775	MINISTERIO DO DESENVOLVIMENTO SOCIAL	MOTIVO N√O ESPECIFICADO
01983244000102	INSTITUTO DE QUALIDADE DE VIDA - IQUAVI	725159	MINISTERIO DO TRABALHO	MOTIVO N√O ESPECIFICADO
01983244000102	INSTITUTO DE QUALIDADE DE VIDA - IQUAVI	726106	MINISTERIO DO TRABALHO	MOTIVO N√O ESPECIFICADO
01983244000102	INSTITUTO DE QUALIDADE DE VIDA - IQUAVI	748290	MINISTERIO DO TRABALHO	MOTIVO N√O ESPECIFICADO
01989290000100	NUCLEO ASSISTENCIAL A SAUDE AMIGA - N.A.S.A	559386	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
01994905000197	COOPERATIVA DOS PROFISSIONAIS LIBERAIS EM LIQUIDACAO -	555842	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECU«√O
02002401000106	PLANEFOR - PLANO ESTRATEGICO DA REGIAO METROPOLITANA DE	511587	MINISTERIO DAS CIDADES	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
02003386000110	ASSOCIACAO ESTADUAL DE COOPERACAO AGRICOLA DO PIAUI	516632	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA EXECU«√O
02005173000128	FEDERACAO DAS ASSOCIACOES E ENTIDADES PARA O DESENVOLVI	516763	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
02005173000128	FEDERACAO DAS ASSOCIACOES E ENTIDADES PARA O DESENVOLVI	537512	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
02007061000106	COOPERATIVA MISTA DOS AGRICULTORES DE MACHADOS	430551	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
02009057000187	ASSOCIACAO VIDA E PAZ	731335	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
02010437000131	INST DE TECNOLOGIA EDUC E AMPARO AO EDUCANDO CARENTE	214956	MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO	INSTAURA«√O DE TCE
02010437000131	INST DE TECNOLOGIA EDUC E AMPARO AO EDUCANDO CARENTE	229461	MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO	INSCRICAO POR DECISAO DO T.C.U.
02010437000131	INST DE TECNOLOGIA EDUC E AMPARO AO EDUCANDO CARENTE	235471	MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO	INSCRICAO POR DECISAO DO T.C.U.
02010437000212	INST DE TECNOLOGIA EDUC E AMPARO AO EDUCANDO CARENTE	215133	MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO	INSCRICAO POR DECISAO DO T.C.U.
02010437000212	INST DE TECNOLOGIA EDUC E AMPARO AO EDUCANDO CARENTE	229453	MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO	INSCRICAO POR DECISAO DO T.C.U.
02010437000212	INST DE TECNOLOGIA EDUC E AMPARO AO EDUCANDO CARENTE	235648	MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
02010437000301	INST DE TECNOLOGIA EDUC E AMPARO AO EDUCANDO CARENTE	215137	MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
02010437000301	INST DE TECNOLOGIA EDUC E AMPARO AO EDUCANDO CARENTE	235649	MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO	INSCRICAO POR DECISAO DO T.C.U.
02011808000108	COOPERATIVA AGROPECUARIA DO MEDIO PARANAPANEMA.	363842	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURA«√O DE TCE
02023939000105	ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE DE	462491	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
02042513000190	INSTITUTO BRASIL CENTRAL IBRACE	702863	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
02042513000190	INSTITUTO BRASIL CENTRAL IBRACE	727314	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
02044759000100	FUNDACAO OCTAVIO NEVES	368224	MINISTERIO DO TURISMO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
02045358000166	ASSOCIACAO DOS MUNICIPIOS DO NORDESTE RIOGRANDENSE	557951	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECU«√O
02049766000196	ASSOCIACAO DE PEQUENOS PRODUTORES AGROPECUARIOS DE GERI	577784	MINISTERIO DA INTEGRACAO NACIONAL	INSTAURA«√O DE TCE
02049766000196	ASSOCIACAO DE PEQUENOS PRODUTORES AGROPECUARIOS DE GERI	594393	MINISTERIO DA INTEGRACAO NACIONAL	INSTAURA«√O DE TCE
02049766000196	ASSOCIACAO DE PEQUENOS PRODUTORES AGROPECUARIOS DE GERI	624274	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
02051376000150	FUNDACAO QUINTETO VIOLADO	371426	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA EXECU«√O
02051376000150	FUNDACAO QUINTETO VIOLADO	406976	MINISTERIO DO TURISMO	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
02051376000150	FUNDACAO QUINTETO VIOLADO	485107	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECU«√O
02054580000125	ASSOCIACAO PESTALOZZI DE SAO SEBASTIAO DO PASSE	488787	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECU«√O
02059774000113	COOPERATIVA DE PROFISSIONAIS LIBERAIS DO VALE ARAGUAIA	636889	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
02059774000202	COOPERATIVA DE PROFISSIONAIS LIBERAIS DO VALE ARAGUAIA	613564	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
02059774000202	COOPERATIVA DE PROFISSIONAIS LIBERAIS DO VALE ARAGUAIA	630502	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTA«√O DE CONTAS (ATRASO, OMISS√O OU IMPUGNA«√O)
