CNPJ Entidade	Nome Entidade	N˙mero ConvÍnio	”rg„o Concedente	Motivo Impedimento
07792884000103	COMITE INTERMUNICIPAL DE DESENVOLVIMENTO SUSTENTVEL DO	708633	PRESIDENCIA DA REPUBLICA	MOTIVO N√O ESPECIFICADO
07802697000163	ASSOC DE PROT E ASSIST A MATERN E A INF DE SEN POMPEU	546671	MINISTERIO DA SAUDE	INSTAURA«√O DE TCE
07802697000163	ASSOC DE PROT E ASSIST A MATERN E A INF DE SEN POMPEU	617973	MINISTERIO DA SAUDE	INSTAURA«√O DE TCE
07805545000114	INSTITUTO DE DESENVOLVIMENTO SUSTENTAVEL-BETEL	751963	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	MOTIVO N√O ESPECIFICADO
07808470000125	FUNDACAO VERA VILA REAL	620763	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECU«√O
07808470000125	FUNDACAO VERA VILA REAL	720481	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07819424000121	IBRACI - INSTITUTO BRASIL CIDADAO	748560	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	MOTIVO N√O ESPECIFICADO
07829496000150	INSTITUTO SUL-AMERICANO DE DESENVOLVIMENTO SUSTENTAVEL	738427	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	MOTIVO N√O ESPECIFICADO
07829496000150	INSTITUTO SUL-AMERICANO DE DESENVOLVIMENTO SUSTENTAVEL	738428	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	MOTIVO N√O ESPECIFICADO
07829496000150	INSTITUTO SUL-AMERICANO DE DESENVOLVIMENTO SUSTENTAVEL	744144	MINISTERIO DO TURISMO	MOTIVO N√O ESPECIFICADO
07831101000153	INSTITUTO AMAZONICO DE DESENVOLVIMENTO SOCIAL, AMPARO A	777574	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	MOTIVO N√O ESPECIFICADO
07831101000153	INSTITUTO AMAZONICO DE DESENVOLVIMENTO SOCIAL, AMPARO A	777922	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	MOTIVO N√O ESPECIFICADO
07844444000152	ASSOCIACAO KITESURF DA PARAIBA - AKP	570147	MINISTERIO DO TURISMO	INSTAURA«√O DE TCE
07846040000106	IFIEX - INSTITUTO DE FOMENTO E INOVACAO EXERCITO BRASIL	590678	MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES	IRREGULARIDADES NA EXECU«√O
07846040000106	IFIEX - INSTITUTO DE FOMENTO E INOVACAO EXERCITO BRASIL	654191	MINISTERIO DA DEFESA	IRREGULARIDADES NA EXECU«√O
07847432000181	ASSOCIACAO DE MULHERES EM ACAO DE MATO GROSSO - AMAMT	599750	MINISTERIO DOS DIREITOS HUMANOS	INSTAURA«√O DE TCE
07858578000122	INSTITUTO SOCIUS-POLIS DE DESENVOLVIMENTO SOCIAL	729491	MINISTERIO DO TRABALHO	MOTIVO N√O ESPECIFICADO
07858578000122	INSTITUTO SOCIUS-POLIS DE DESENVOLVIMENTO SOCIAL	748286	MINISTERIO DO TRABALHO	MOTIVO N√O ESPECIFICADO
07868060000170	ASSOCIACAO DOS PRODUTORES RURAIS DE CARATATEUA	079909	MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO	IRREGULARIDADES NA EXECU«√O
07875818000105	CETREDE - CENTRO DE TREINAMENTO E DESENVOLVIMENTO	403974	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA EXECU«√O
07876282000134	INSTITUTO TECNICO DE ESTUDOS AGRARIOS E COOPERATIVISMO	577206	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
07876282000134	INSTITUTO TECNICO DE ESTUDOS AGRARIOS E COOPERATIVISMO	579326	MINISTERIO DA EDUCACAO	INSTAURA«√O DE TCE
07876282000134	INSTITUTO TECNICO DE ESTUDOS AGRARIOS E COOPERATIVISMO	588617	PRESIDENCIA DA REPUBLICA	INSTAURA«√O DE TCE
07876282000134	INSTITUTO TECNICO DE ESTUDOS AGRARIOS E COOPERATIVISMO	623716	PRESIDENCIA DA REPUBLICA	INEXECU«√O DO OBJETO (TOTAL OU PARCIAL)
